Cod_Transacao,Produto,Quantidade,Preço Unitário,Valor Total,Forma de Pagamento,Tipo de Consumo,Data da Transação,Origem,Hora da Transação,Cod_Loja,Localizacao_Loja,Cod_Produto,Categoria do Produto,Tipo do Produto,Detalhe do Produto,valor_imputado,is_valid,quality_issues
TXN_3229758,COFFEE,4,2.00,8.00,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4619029,SANDWICH,3,4.00,12.00,CREDIT CARD,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4796350,N/A,,4.00,12.00,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_8805984,JUICE,2,3.00,6.00,CREDIT CARD,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7817014,COOKIE,1,1.00,1.00,DIGITAL WALLET,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_1485417,COOKIE,3,1.00,3.00,CASH,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9762324,CAKE,2,3.00,6.00,CASH,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_1628509,SMOOTHIE,5,4.00,20.00,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_5898743,JUICE,4,3.00,12.00,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3791639,N/A,4,3.00,12.00,DIGITAL WALLET,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4152036,N/A,,3.00,6.00,CASH,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_3810451,JUICE,4,3.00,12.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_2744907,SALAD,2,5.00,10.00,DIGITAL WALLET,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8298311,TEA,2,1.50,3.00,DIGITAL WALLET,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6744866,TEA,4,1.50,6.00,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8764825,SMOOTHIE,3,4.00,12.00,CASH,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9349962,N/A,4,4.00,16.00,N/A,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3946544,CAKE,5,3.00,15.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6868049,JUICE,5,3.00,15.00,DIGITAL WALLET,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3477767,COOKIE,3,,3.00,DIGITAL WALLET,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_1932897,COOKIE,1,1.00,1.00,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8167279,SALAD,5,5.00,25.00,N/A,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_2004851,SALAD,5,5.00,25.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6916047,COFFEE,2,2.00,4.00,DIGITAL WALLET,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4809497,TEA,4,1.50,6.00,CASH,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4637016,SALAD,3,5.00,15.00,CREDIT CARD,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3172751,JUICE,5,3.00,15.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9658677,CAKE,,3.00,12.00,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_9402247,SALAD,3,,15.00,DIGITAL WALLET,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_8868960,SALAD,5,5.00,25.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7675823,TEA,5,1.50,7.50,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8717428,SALAD,3,5.00,15.00,DIGITAL WALLET,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7833800,COFFEE,2,2.00,4.00,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3135132,SANDWICH,4,4.00,16.00,CREDIT CARD,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4316299,TEA,2,1.50,3.00,CREDIT CARD,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4874685,SMOOTHIE,,4.00,4.00,CREDIT CARD,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_6358073,SANDWICH,3,4.00,12.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9218683,CAKE,2,3.00,6.00,DIGITAL WALLET,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8781128,SANDWICH,5,4.00,20.00,DIGITAL WALLET,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9582716,CAKE,2,3.00,6.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7482583,TEA,5,1.50,7.50,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_1568657,COFFEE,2,,4.00,CASH,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_3412490,CAKE,2,3.00,6.00,CASH,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_1852586,CAKE,5,3.00,15.00,N/A,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3942164,COFFEE,4,2.00,8.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7626939,COFFEE,,2.00,10.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_9102030,SMOOTHIE,4,4.00,16.00,DIGITAL WALLET,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7696120,COOKIE,1,,1.00,N/A,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_1789644,COFFEE,4,2.00,8.00,CREDIT CARD,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_5102956,CAKE,5,3.00,15.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8645889,SALAD,4,,20.00,CASH,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_6060764,SMOOTHIE,3,,12.00,N/A,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_5237569,TEA,3,,4.50,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_9121852,COOKIE,1,1.00,1.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_2952715,SMOOTHIE,3,4.00,12.00,CASH,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7590801,TEA,,,6.00,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_9503369,COOKIE,,1.00,1.00,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_7752454,CAKE,3,3.00,9.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8148137,TEA,1,1.50,1.50,N/A,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_1494502,SALAD,5,5.00,25.00,DIGITAL WALLET,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4549825,SALAD,2,5.00,10.00,DIGITAL WALLET,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3165950,N/A,1,2.00,2.00,DIGITAL WALLET,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9817681,N/A,4,1.50,6.00,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7056051,CAKE,2,3.00,6.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_2091128,CAKE,1,3.00,3.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6298532,SMOOTHIE,4,4.00,16.00,DIGITAL WALLET,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9522899,SMOOTHIE,5,4.00,20.00,CREDIT CARD,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3257591,SANDWICH,1,4.00,4.00,CREDIT CARD,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9491912,TEA,4,1.50,6.00,CASH,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6992164,SANDWICH,2,4.00,8.00,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8715122,CAKE,2,3.00,6.00,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7169320,COFFEE,3,2.00,6.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4030010,SANDWICH,5,4.00,20.00,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8616163,SMOOTHIE,,4.00,8.00,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_7468777,SALAD,1,5.00,5.00,DIGITAL WALLET,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7844687,CAKE,1,3.00,3.00,N/A,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_1185118,N/A,5,3.00,15.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3985301,SMOOTHIE,2,4.00,8.00,N/A,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6594187,TEA,5,1.50,7.50,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6746140,COOKIE,5,1.00,5.00,DIGITAL WALLET,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_2376525,SANDWICH,5,4.00,20.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_1529904,COFFEE,1,2.00,2.00,CREDIT CARD,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8191921,SALAD,3,5.00,15.00,DIGITAL WALLET,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6346774,JUICE,3,3.00,9.00,CASH,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6018740,SMOOTHIE,2,4.00,8.00,DIGITAL WALLET,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9293417,TEA,3,1.50,4.50,DIGITAL WALLET,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4225300,SANDWICH,1,4.00,4.00,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7512574,TEA,1,1.50,1.50,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4914535,N/A,2,1.00,2.00,CASH,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3596456,COFFEE,3,2.00,6.00,DIGITAL WALLET,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_2631671,COOKIE,1,1.00,1.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7943598,N/A,4,4.00,16.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9864212,SMOOTHIE,5,4.00,20.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_1480967,TEA,2,1.50,3.00,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7387701,COFFEE,1,2.00,2.00,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4953063,TEA,5,,7.50,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_9747008,TEA,4,1.50,6.00,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4690415,SANDWICH,2,,8.00,DIGITAL WALLET,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_7570308,TEA,4,1.50,6.00,CASH,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7059722,SANDWICH,5,4.00,20.00,DIGITAL WALLET,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6130455,TEA,2,1.50,3.00,DIGITAL WALLET,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9042043,COOKIE,4,1.00,4.00,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_2454046,JUICE,2,3.00,6.00,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4130861,SALAD,2,5.00,10.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_5476846,TEA,4,1.50,6.00,CREDIT CARD,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8329302,JUICE,,3.00,9.00,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_5745955,SMOOTHIE,4,4.00,16.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6228918,CAKE,1,3.00,3.00,DIGITAL WALLET,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_5930921,COOKIE,2,1.00,2.00,DIGITAL WALLET,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6377597,COOKIE,1,1.00,1.00,N/A,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9769782,SMOOTHIE,5,4.00,20.00,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_2505327,JUICE,2,3.00,6.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3894820,SANDWICH,5,4.00,20.00,DIGITAL WALLET,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_1897660,TEA,3,1.50,4.50,DIGITAL WALLET,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9749434,CAKE,5,3.00,15.00,CREDIT CARD,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8832852,SANDWICH,5,4.00,20.00,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8980774,TEA,4,1.50,6.00,N/A,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3716067,TEA,5,1.50,7.50,CREDIT CARD,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3687300,COOKIE,2,1.00,2.00,CREDIT CARD,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8162049,SANDWICH,1,4.00,4.00,DIGITAL WALLET,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3923375,CAKE,5,3.00,15.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7397017,SALAD,3,5.00,15.00,DIGITAL WALLET,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9868053,JUICE,3,3.00,9.00,DIGITAL WALLET,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3475075,CAKE,3,,9.00,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_4759797,SALAD,3,5.00,15.00,N/A,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3292043,COOKIE,5,,5.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_2052771,TEA,4,1.50,6.00,DIGITAL WALLET,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9433806,COFFEE,1,2.00,2.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_7494217,COOKIE,1,1.00,1.00,CASH,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6324736,SANDWICH,5,4.00,20.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4695415,CAKE,5,3.00,15.00,N/A,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6252589,SMOOTHIE,2,4.00,8.00,DIGITAL WALLET,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9851026,SALAD,2,5.00,10.00,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4933689,CAKE,1,3.00,3.00,CASH,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_4653861,SANDWICH,,4.00,16.00,CASH,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_7990902,COFFEE,5,2.00,10.00,N/A,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6485220,CAKE,3,3.00,9.00,CASH,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_2475259,SMOOTHIE,2,4.00,8.00,CASH,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9006674,TEA,1,1.50,1.50,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_2252218,N/A,4,5.00,20.00,CASH,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9123562,JUICE,5,3.00,15.00,CREDIT CARD,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6633097,JUICE,4,3.00,12.00,CREDIT CARD,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_2265603,SMOOTHIE,3,4.00,12.00,DIGITAL WALLET,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3271393,SMOOTHIE,4,4.00,16.00,CASH,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_2591969,SALAD,,5.00,20.00,CREDIT CARD,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_8939048,COOKIE,3,1.00,3.00,DIGITAL WALLET,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_3784001,SANDWICH,1,4.00,4.00,N/A,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_5738282,CAKE,4,3.00,12.00,CREDIT CARD,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6500126,SMOOTHIE,2,,,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,True,False,['data_ausente']
TXN_2629168,JUICE,1,3.00,3.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_1034956,SANDWICH,4,4.00,16.00,CASH,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_6935106,TEA,5,1.50,7.50,N/A,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8205635,CAKE,5,3.00,15.00,CREDIT CARD,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_2342256,TEA,3,1.50,4.50,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9958548,TEA,4,1.50,6.00,N/A,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_9405019,CAKE,5,3.00,15.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8116619,SMOOTHIE,3,4.00,12.00,CASH,IN-STORE,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_2450896,SMOOTHIE,1,4.00,4.00,DIGITAL WALLET,TAKEAWAY,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
TXN_8302551,CAKE,4,3.00,12.00,N/A,N/A,,CSV_DIRTY_CAFE_SALES,,,,,,,,False,False,['data_ausente']
