Cod_Transacao;Produto;Quantidade;Preço Unitário;Valor Total;Forma de Pagamento;Tipo de Consumo;Data da Transação;valor_imputado;is_valid;quality_issues
TXN_5695074;SUCO;4;3,00;12,00;CARTÃO DE CRÉDITO;PARA VIAGEM;10/04/2023;False;True;[]
TXN_8467949;VITAMINA;5;4,00;20,00;CARTÃO DE CRÉDITO;N/A;11/03/2023;False;True;[]
TXN_1736287;N/A;5;2,00;10,00;CARTEIRA DIGITAL;N/A;02/06/2023;False;True;[]
TXN_8927252;N/A;2;1,00;2,00;CARTÃO DE CRÉDITO;N/A;06/11/2023;False;True;[]
TXN_9677376;VITAMINA;4;4,00;16,00;N/A;PRESENCIAL;15/08/2023;False;True;[]
TXN_8853997;VITAMINA;2;4,00;8,00;CARTEIRA DIGITAL;PARA VIAGEM;09/10/2023;False;True;[]
TXN_9130559;SANDUICHE;1;4,00;4,00;CARTÃO DE CRÉDITO;N/A;28/05/2023;False;True;[]
TXN_6855453;N/A;4;3,00;12,00;N/A;PRESENCIAL;17/07/2023;False;True;[]
TXN_1080432;SALADA;2;5,00;10,00;CARTÃO DE CRÉDITO;PRESENCIAL;29/04/2023;False;True;[]
TXN_2655815;VITAMINA;4;4,00;16,00;N/A;PARA VIAGEM;08/06/2023;False;True;[]
TXN_6688524;CAFÉ;4;2,00;8,00;N/A;N/A;29/06/2023;False;True;[]
TXN_2083138;VITAMINA;3;4,00;12,00;N/A;PRESENCIAL;17/04/2023;False;True;[]
TXN_2427584;SANDUICHE;4;4,00;16,00;N/A;PARA VIAGEM;22/12/2023;False;True;[]
TXN_6650263;CHÁ;2;1,50;3,00;N/A;PARA VIAGEM;10/01/2023;False;True;[]
TXN_9620080;SUCO;4;3,00;12,00;N/A;PARA VIAGEM;02/10/2023;False;True;[]
TXN_1491578;BISCOITO;2;1,00;2,00;N/A;N/A;23/02/2023;False;True;[]
TXN_5455792;SALADA;3;5,00;15,00;DINHEIRO;N/A;22/03/2023;False;True;[]
TXN_8078640;SUCO;4;3,00;12,00;CARTEIRA DIGITAL;PRESENCIAL;03/11/2023;False;True;[]
TXN_9499313;SUCO;5;3,00;15,00;N/A;N/A;02/03/2023;False;True;[]
TXN_8201146;SUCO;5;3,00;15,00;DINHEIRO;N/A;26/06/2023;False;True;[]
TXN_8230936;BOLO;3;3,00;9,00;N/A;N/A;02/05/2023;False;True;[]
TXN_7742742;BOLO;5;3,00;15,00;N/A;PARA VIAGEM;05/09/2023;False;True;[]
TXN_6342161;SALADA;5;5,00;25,00;N/A;PARA VIAGEM;08/01/2023;False;True;[]
TXN_8914892;N/A;5;5,00;25,00;CARTEIRA DIGITAL;N/A;15/03/2023;False;True;[]
TXN_3363746;VITAMINA;3;4,00;12,00;CARTÃO DE CRÉDITO;N/A;25/11/2023;False;True;[]
TXN_8614868;VITAMINA;5;4,00;20,00;CARTEIRA DIGITAL;PARA VIAGEM;05/12/2023;False;True;[]
TXN_5522862;BISCOITO;;1,00;2,00;CARTÃO DE CRÉDITO;PARA VIAGEM;19/03/2023;True;True;[]
TXN_3578141;BOLO;5;;15,00;N/A;PARA VIAGEM;27/06/2023;True;True;[]
TXN_2080895;BOLO;;3,00;3,00;CARTEIRA DIGITAL;PRESENCIAL;19/04/2023;True;True;[]
TXN_6421134;SANDUICHE;4;4,00;16,00;DINHEIRO;PARA VIAGEM;03/11/2023;False;True;[]
TXN_8813311;SUCO;5;3,00;15,00;N/A;PRESENCIAL;07/10/2023;False;True;[]
TXN_9023317;SALADA;1;5,00;5,00;N/A;N/A;30/09/2023;False;True;[]
TXN_8051289;N/A;1;3,00;3,00;N/A;PRESENCIAL;09/10/2023;False;True;[]
TXN_2537617;SANDUICHE;1;4,00;4,00;DINHEIRO;N/A;27/05/2023;False;True;[]
TXN_9099694;N/A;3;5,00;15,00;N/A;PARA VIAGEM;18/11/2023;False;True;[]
TXN_9230615;VITAMINA;4;4,00;16,00;CARTEIRA DIGITAL;N/A;01/06/2023;False;True;[]
TXN_4987129;SANDUICHE;3;;;N/A;PRESENCIAL;20/10/2023;True;True;[]
TXN_8501819;SUCO;;3,00;6,00;DINHEIRO;N/A;30/03/2023;True;True;[]
TXN_3068204;BISCOITO;1;1,00;1,00;CARTÃO DE CRÉDITO;PARA VIAGEM;03/10/2023;False;True;[]
TXN_8427104;SALADA;2;;10,00;N/A;PRESENCIAL;27/10/2023;True;True;[]
TXN_8471743;N/A;5;3,00;15,00;CARTEIRA DIGITAL;PRESENCIAL;06/04/2023;False;True;[]
TXN_2621580;CHÁ;2;1,50;3,00;DINHEIRO;PRESENCIAL;22/03/2023;False;True;[]
TXN_4726376;BOLO;2;3,00;6,00;CARTÃO DE CRÉDITO;PRESENCIAL;31/01/2023;False;True;[]
TXN_6044979;N/A;1;1,00;1,00;DINHEIRO;PRESENCIAL;08/12/2023;False;True;[]
TXN_4238417;SALADA;2;5,00;10,00;N/A;N/A;19/06/2023;False;True;[]
TXN_1900620;VITAMINA;2;4,00;8,00;CARTÃO DE CRÉDITO;N/A;14/12/2023;False;True;[]
TXN_6420335;CAFÉ;1;2,00;2,00;DINHEIRO;PARA VIAGEM;16/07/2023;False;True;[]
TXN_3858209;SANDUICHE;4;4,00;16,00;DINHEIRO;N/A;22/02/2023;False;True;[]
TXN_8735480;CHÁ;5;1,50;7,50;DINHEIRO;N/A;02/06/2023;False;True;[]
TXN_3829165;SUCO;4;3,00;12,00;DINHEIRO;PRESENCIAL;15/06/2023;False;True;[]
TXN_3748616;CAFÉ;2;2,00;4,00;CARTÃO DE CRÉDITO;PRESENCIAL;09/12/2023;False;True;[]
TXN_1993289;SANDUICHE;2;4,00;8,00;N/A;PRESENCIAL;18/04/2023;False;True;[]
TXN_2123367;BISCOITO;2;1,00;2,00;N/A;N/A;07/11/2023;False;True;[]
TXN_5266394;BOLO;3;3,00;9,00;DINHEIRO;PRESENCIAL;28/10/2023;False;True;[]
TXN_5107946;BOLO;4;3,00;12,00;CARTÃO DE CRÉDITO;N/A;22/12/2023;False;True;[]
TXN_8035512;CHÁ;3;;4,50;DINHEIRO;N/A;29/10/2023;True;True;[]
TXN_8718498;BOLO;5;3,00;15,00;CARTÃO DE CRÉDITO;N/A;30/04/2023;False;True;[]
TXN_3955361;BISCOITO;5;1,00;5,00;N/A;PARA VIAGEM;02/04/2023;False;True;[]
TXN_9487821;N/A;1;5,00;5,00;CARTEIRA DIGITAL;PARA VIAGEM;24/05/2023;False;True;[]
TXN_4132730;N/A;5;1,00;5,00;N/A;PRESENCIAL;12/03/2023;False;True;[]
TXN_8976658;CHÁ;2;1,50;3,00;CARTÃO DE CRÉDITO;PRESENCIAL;16/08/2023;False;True;[]
TXN_5455936;N/A;5;3,00;15,00;N/A;PRESENCIAL;28/10/2023;False;True;[]
TXN_2725602;SUCO;5;3,00;15,00;CARTÃO DE CRÉDITO;N/A;10/09/2023;False;True;[]
TXN_3011323;CAFÉ;3;2,00;6,00;CARTÃO DE CRÉDITO;N/A;07/03/2023;False;True;[]
TXN_6289610;SUCO;3;3,00;9,00;DINHEIRO;PARA VIAGEM;07/08/2023;False;True;[]
TXN_8268061;SALADA;3;5,00;15,00;N/A;PARA VIAGEM;20/08/2023;False;True;[]
TXN_5220895;SALADA;5;5,00;25,00;DINHEIRO;PRESENCIAL;10/06/2023;False;True;[]
TXN_3085509;CAFÉ;4;2,00;8,00;CARTEIRA DIGITAL;PRESENCIAL;15/04/2023;False;True;[]
TXN_9999113;SUCO;4;3,00;12,00;DINHEIRO;PARA VIAGEM;27/05/2023;False;True;[]
TXN_8779771;CAFÉ;4;2,00;8,00;DINHEIRO;PRESENCIAL;25/07/2023;False;True;[]
TXN_9517146;N/A;5;5,00;25,00;DINHEIRO;PARA VIAGEM;30/10/2023;False;True;[]
TXN_1621920;SALADA;3;5,00;15,00;N/A;PARA VIAGEM;28/10/2023;False;True;[]
TXN_3808639;SUCO;2;3,00;6,00;CARTEIRA DIGITAL;PARA VIAGEM;15/12/2023;False;True;[]
TXN_6955416;SALADA;4;5,00;20,00;N/A;PRESENCIAL;25/02/2023;False;True;[]
TXN_3775339;BISCOITO;3;1,00;3,00;CARTÃO DE CRÉDITO;N/A;03/04/2023;False;True;[]
TXN_9547091;BISCOITO;3;1,00;3,00;CARTÃO DE CRÉDITO;N/A;08/10/2023;False;True;[]
TXN_4358673;BISCOITO;5;1,00;5,00;CARTEIRA DIGITAL;PARA VIAGEM;28/12/2023;False;True;[]
TXN_4174591;CHÁ;4;1,50;6,00;CARTEIRA DIGITAL;N/A;30/08/2023;False;True;[]
TXN_3398520;SANDUICHE;1;4,00;4,00;N/A;PRESENCIAL;03/02/2023;False;True;[]
TXN_6171384;VITAMINA;2;4,00;8,00;CARTÃO DE CRÉDITO;N/A;12/09/2023;False;True;[]
TXN_2530938;VITAMINA;5;4,00;20,00;N/A;PARA VIAGEM;27/04/2023;False;True;[]
TXN_3314971;SUCO;3;3,00;9,00;CARTEIRA DIGITAL;N/A;04/05/2023;False;True;[]
TXN_3092382;CAFÉ;5;2,00;10,00;CARTEIRA DIGITAL;N/A;21/02/2023;False;True;[]
TXN_1535311;SUCO;3;3,00;9,00;DINHEIRO;N/A;16/03/2023;False;True;[]
TXN_2148617;SUCO;;3,00;9,00;CARTEIRA DIGITAL;N/A;10/01/2023;True;True;[]
TXN_4633784;N/A;5;;15,00;N/A;PRESENCIAL;06/02/2023;True;True;[]
TXN_4368416;SALADA;2;5,00;10,00;CARTÃO DE CRÉDITO;PARA VIAGEM;24/02/2023;False;True;[]
TXN_9790731;BOLO;2;3,00;6,00;N/A;N/A;02/06/2023;False;True;[]
TXN_9339456;CAFÉ;3;2,00;6,00;N/A;PARA VIAGEM;29/03/2023;False;True;[]
TXN_5179020;BOLO;2;3,00;6,00;N/A;PARA VIAGEM;18/06/2023;False;True;[]
TXN_6258471;CAFÉ;5;2,00;10,00;CARTEIRA DIGITAL;PRESENCIAL;23/09/2023;False;True;[]
TXN_7945375;SUCO;3;3,00;9,00;N/A;N/A;14/01/2023;False;True;[]
TXN_4685453;CHÁ;4;1,50;6,00;DINHEIRO;PRESENCIAL;14/09/2023;False;True;[]
TXN_9646452;SUCO;5;3,00;15,00;CARTÃO DE CRÉDITO;N/A;16/09/2023;False;True;[]
TXN_9096052;VITAMINA;4;4,00;16,00;CARTÃO DE CRÉDITO;PARA VIAGEM;28/12/2023;False;True;[]
TXN_5916991;SUCO;2;3,00;6,00;CARTEIRA DIGITAL;PARA VIAGEM;06/02/2023;False;True;[]
TXN_3407169;SANDUICHE;2;4,00;8,00;DINHEIRO;PRESENCIAL;11/03/2023;False;True;[]
TXN_2277042;CHÁ;1;1,50;1,50;DINHEIRO;N/A;08/04/2023;False;True;[]
TXN_9273729;CHÁ;1;1,50;1,50;N/A;N/A;19/12/2023;False;True;[]
TXN_2181545;SUCO;4;3,00;12,00;CARTÃO DE CRÉDITO;PARA VIAGEM;14/07/2023;False;True;[]
TXN_1150033;SUCO;5;3,00;15,00;DINHEIRO;PRESENCIAL;18/04/2023;False;True;[]
TXN_1443912;SUCO;2;3,00;6,00;N/A;N/A;08/06/2023;False;True;[]
TXN_8700451;CHÁ;5;1,50;7,50;CARTÃO DE CRÉDITO;PARA VIAGEM;12/12/2023;False;True;[]
TXN_6380550;CAFÉ;5;2,00;10,00;DINHEIRO;PRESENCIAL;05/01/2023;False;True;[]
TXN_4885518;SALADA;3;5,00;15,00;CARTÃO DE CRÉDITO;PRESENCIAL;10/06/2023;False;True;[]
TXN_3972167;SANDUICHE;5;4,00;20,00;N/A;PRESENCIAL;23/01/2023;False;True;[]
TXN_4878378;CHÁ;1;1,50;1,50;CARTÃO DE CRÉDITO;N/A;20/02/2023;False;True;[]
TXN_2484241;BOLO;3;;9,00;CARTEIRA DIGITAL;N/A;19/07/2023;True;True;[]
TXN_2368126;BOLO;5;3,00;15,00;N/A;PRESENCIAL;06/12/2023;False;True;[]
TXN_8495063;SUCO;1;3,00;3,00;DINHEIRO;N/A;31/05/2023;False;True;[]
TXN_4811133;SALADA;2;5,00;10,00;DINHEIRO;N/A;11/08/2023;False;True;[]
TXN_8729570;CHÁ;5;1,50;7,50;N/A;PRESENCIAL;03/09/2023;False;True;[]
TXN_7623634;BOLO;2;3,00;6,00;CARTÃO DE CRÉDITO;PRESENCIAL;11/07/2023;False;True;[]
TXN_9336980;SALADA;4;;20,00;DINHEIRO;PRESENCIAL;06/06/2023;True;True;[]
TXN_3424331;BOLO;4;3,00;12,00;N/A;N/A;18/01/2023;False;True;[]
TXN_5072031;BOLO;2;3,00;6,00;DINHEIRO;PARA VIAGEM;23/03/2023;False;True;[]
TXN_8687151;SALADA;5;5,00;25,00;DINHEIRO;N/A;10/06/2023;False;True;[]
TXN_4031509;N/A;4;;16,00;CARTÃO DE CRÉDITO;PARA VIAGEM;04/01/2023;True;True;[]
TXN_5265095;CAFÉ;1;2,00;2,00;N/A;N/A;23/06/2023;False;True;[]
TXN_6541415;N/A;;3,00;12,00;DINHEIRO;PRESENCIAL;25/11/2023;True;True;[]
TXN_4108138;CAFÉ;5;2,00;10,00;DINHEIRO;N/A;03/08/2023;False;True;[]
TXN_1909796;VITAMINA;2;4,00;8,00;N/A;PARA VIAGEM;12/07/2023;False;True;[]
TXN_1928241;CAFÉ;3;2,00;6,00;DINHEIRO;PRESENCIAL;30/04/2023;False;True;[]
TXN_4283157;SALADA;5;5,00;25,00;CARTEIRA DIGITAL;PRESENCIAL;25/11/2023;False;True;[]
TXN_8013032;CAFÉ;2;2,00;4,00;CARTÃO DE CRÉDITO;N/A;07/03/2023;False;True;[]
TXN_8301424;SUCO;2;3,00;6,00;N/A;N/A;27/06/2023;False;True;[]
TXN_7965998;SUCO;1;;3,00;CARTÃO DE CRÉDITO;PRESENCIAL;02/11/2023;True;True;[]
TXN_9238666;BISCOITO;1;;1,00;N/A;PARA VIAGEM;31/07/2023;True;True;[]
TXN_1631695;CHÁ;2;1,50;3,00;N/A;PRESENCIAL;19/09/2023;False;True;[]
TXN_1435086;BOLO;5;;15,00;N/A;N/A;09/02/2023;True;True;[]
TXN_3226832;N/A;5;4,00;20,00;DINHEIRO;N/A;04/09/2023;False;True;[]
TXN_1648671;SANDUICHE;3;4,00;12,00;DINHEIRO;PARA VIAGEM;21/05/2023;False;True;[]
TXN_4062737;BOLO;3;3,00;9,00;DINHEIRO;PRESENCIAL;02/07/2023;False;True;[]
TXN_3494565;N/A;2;4,00;8,00;N/A;N/A;10/07/2023;False;True;[]
TXN_9249507;BISCOITO;4;1,00;4,00;CARTÃO DE CRÉDITO;PRESENCIAL;21/11/2023;False;True;[]
TXN_4689500;SANDUICHE;4;4,00;16,00;N/A;N/A;02/12/2023;False;True;[]
TXN_8989148;CHÁ;2;1,50;3,00;N/A;N/A;25/11/2023;False;True;[]
TXN_8316826;CAFÉ;3;2,00;6,00;N/A;PRESENCIAL;17/04/2023;False;True;[]
TXN_9836934;BISCOITO;3;1,00;3,00;CARTEIRA DIGITAL;PRESENCIAL;13/03/2023;False;True;[]
TXN_8005489;BOLO;3;3,00;9,00;N/A;PRESENCIAL;12/08/2023;False;True;[]
TXN_3925836;BISCOITO;3;1,00;3,00;CARTEIRA DIGITAL;PRESENCIAL;16/02/2023;False;True;[]
TXN_1896955;SALADA;;5,00;25,00;N/A;PRESENCIAL;23/09/2023;True;True;[]
TXN_5075974;VITAMINA;;4,00;16,00;CARTEIRA DIGITAL;N/A;11/04/2023;True;True;[]
TXN_3978874;VITAMINA;5;4,00;20,00;CARTÃO DE CRÉDITO;PRESENCIAL;13/03/2023;False;True;[]
TXN_8955912;SANDUICHE;1;4,00;4,00;N/A;N/A;07/11/2023;False;True;[]
TXN_1136554;VITAMINA;3;4,00;12,00;N/A;PARA VIAGEM;26/03/2023;False;True;[]
TXN_8007337;BOLO;2;3,00;6,00;CARTEIRA DIGITAL;PARA VIAGEM;01/11/2023;False;True;[]
TXN_8129834;SALADA;1;5,00;5,00;DINHEIRO;N/A;22/07/2023;False;True;[]
TXN_3831848;N/A;1;4,00;4,00;CARTEIRA DIGITAL;PARA VIAGEM;03/11/2023;False;True;[]
TXN_5365809;BOLO;3;3,00;9,00;DINHEIRO;PRESENCIAL;14/09/2023;False;True;[]
TXN_8166407;VITAMINA;2;;8,00;N/A;N/A;26/07/2023;True;True;[]
TXN_6629480;VITAMINA;5;4,00;20,00;CARTÃO DE CRÉDITO;PRESENCIAL;28/02/2023;False;True;[]
TXN_3833797;CAFÉ;4;2,00;8,00;N/A;PRESENCIAL;27/01/2023;False;True;[]
TXN_2643815;BISCOITO;;1,00;3,00;N/A;N/A;06/12/2023;True;True;[]
TXN_2996519;BOLO;5;3,00;15,00;DINHEIRO;N/A;19/01/2023;False;True;[]
TXN_8810894;VITAMINA;1;4,00;4,00;N/A;N/A;20/02/2023;False;True;[]
TXN_7412722;SUCO;4;3,00;12,00;DINHEIRO;PRESENCIAL;07/04/2023;False;True;[]
TXN_3937509;VITAMINA;2;4,00;8,00;N/A;PRESENCIAL;20/03/2023;False;True;[]
TXN_6000201;BISCOITO;3;1,00;3,00;DINHEIRO;PARA VIAGEM;16/02/2023;False;True;[]
TXN_1714274;BISCOITO;4;1,00;4,00;N/A;PRESENCIAL;27/12/2023;False;True;[]
TXN_3800182;CHÁ;2;;3,00;DINHEIRO;PRESENCIAL;26/10/2023;True;True;[]
TXN_5115080;N/A;5;3,00;15,00;CARTÃO DE CRÉDITO;N/A;18/02/2023;False;True;[]
TXN_9788956;SUCO;;3,00;12,00;N/A;N/A;11/04/2023;True;True;[]
TXN_6311602;SUCO;3;3,00;9,00;CARTÃO DE CRÉDITO;N/A;15/05/2023;False;True;[]
TXN_2950680;CAFÉ;2;2,00;4,00;CARTÃO DE CRÉDITO;PARA VIAGEM;10/12/2023;False;True;[]
TXN_6749847;BOLO;2;3,00;6,00;CARTÃO DE CRÉDITO;N/A;15/08/2023;False;True;[]
TXN_2143187;VITAMINA;1;4,00;4,00;N/A;PRESENCIAL;21/04/2023;False;True;[]
TXN_8964522;N/A;3;3,00;9,00;CARTÃO DE CRÉDITO;PARA VIAGEM;28/10/2023;False;True;[]
TXN_4088917;CAFÉ;3;2,00;6,00;DINHEIRO;PARA VIAGEM;04/02/2023;False;True;[]
TXN_3779366;BISCOITO;1;1,00;1,00;CARTEIRA DIGITAL;PRESENCIAL;15/04/2023;False;True;[]
TXN_7724048;VITAMINA;1;4,00;4,00;N/A;PRESENCIAL;12/11/2023;False;True;[]
TXN_2698591;CHÁ;5;1,50;7,50;N/A;N/A;05/08/2023;False;True;[]
TXN_3171373;VITAMINA;3;4,00;12,00;CARTÃO DE CRÉDITO;PRESENCIAL;10/05/2023;False;True;[]
TXN_6498163;VITAMINA;5;4,00;20,00;N/A;PRESENCIAL;15/07/2023;False;True;[]
TXN_6717827;N/A;3;5,00;15,00;CARTEIRA DIGITAL;N/A;15/11/2023;False;True;[]
TXN_9089898;SALADA;3;;15,00;CARTÃO DE CRÉDITO;N/A;11/01/2023;True;True;[]
TXN_8587583;BOLO;1;;3,00;N/A;N/A;01/10/2023;True;True;[]
TXN_8693704;SALADA;;5,00;25,00;DINHEIRO;PRESENCIAL;04/05/2023;True;True;[]
TXN_3857960;SALADA;4;5,00;20,00;DINHEIRO;PRESENCIAL;26/04/2023;False;True;[]
TXN_3499124;N/A;4;4,00;16,00;CARTÃO DE CRÉDITO;N/A;25/08/2023;False;True;[]
TXN_9250710;SALADA;1;5,00;5,00;DINHEIRO;PRESENCIAL;28/05/2023;False;True;[]
TXN_7058377;SUCO;1;3,00;3,00;N/A;PARA VIAGEM;30/04/2023;False;True;[]
TXN_6766492;SALADA;1;5,00;5,00;N/A;N/A;14/01/2023;False;True;[]
TXN_9879996;CAFÉ;4;2,00;8,00;CARTEIRA DIGITAL;PRESENCIAL;01/03/2023;False;True;[]
TXN_4291940;BOLO;3;3,00;9,00;CARTÃO DE CRÉDITO;PRESENCIAL;13/11/2023;False;True;[]
TXN_7433461;BISCOITO;2;1,00;2,00;CARTEIRA DIGITAL;N/A;09/07/2023;False;True;[]
TXN_4068262;SALADA;2;5,00;10,00;CARTÃO DE CRÉDITO;N/A;13/05/2023;False;True;[]
TXN_5047447;SALADA;1;5,00;5,00;CARTEIRA DIGITAL;PARA VIAGEM;27/12/2023;False;True;[]
TXN_6623508;BISCOITO;5;1,00;5,00;CARTEIRA DIGITAL;PARA VIAGEM;18/05/2023;False;True;[]
TXN_2651216;N/A;3;4,00;12,00;N/A;N/A;04/04/2023;False;True;[]
TXN_9350833;BOLO;1;;3,00;DINHEIRO;PARA VIAGEM;17/01/2023;True;True;[]
TXN_8377564;BOLO;5;3,00;15,00;N/A;PRESENCIAL;14/07/2023;False;True;[]
TXN_7031118;SALADA;1;5,00;5,00;CARTÃO DE CRÉDITO;N/A;29/03/2023;False;True;[]
TXN_2230167;BOLO;4;3,00;12,00;CARTEIRA DIGITAL;PARA VIAGEM;22/09/2023;False;True;[]
TXN_6446616;CHÁ;3;1,50;4,50;N/A;N/A;30/09/2023;False;True;[]
TXN_1721827;BOLO;4;3,00;12,00;CARTEIRA DIGITAL;N/A;22/08/2023;False;True;[]
TXN_6334895;VITAMINA;1;4,00;4,00;CARTÃO DE CRÉDITO;N/A;27/07/2023;False;True;[]
TXN_7077119;N/A;1;4,00;4,00;CARTEIRA DIGITAL;PRESENCIAL;30/12/2023;False;True;[]
TXN_8562645;SALADA;;5,00;;N/A;PRESENCIAL;18/05/2023;True;True;[]
TXN_4700144;CAFÉ;4;2,00;8,00;N/A;PRESENCIAL;21/12/2023;False;True;[]
TXN_5526852;SANDUICHE;5;4,00;20,00;CARTEIRA DIGITAL;PRESENCIAL;28/09/2023;False;True;[]
TXN_6846228;SALADA;3;;15,00;N/A;PRESENCIAL;16/11/2023;True;True;[]
TXN_8570890;SUCO;4;3,00;12,00;N/A;N/A;14/04/2023;False;True;[]
TXN_3205009;N/A;2;1,50;3,00;DINHEIRO;PRESENCIAL;03/01/2023;False;True;[]
TXN_3786188;CHÁ;3;1,50;4,50;CARTÃO DE CRÉDITO;PRESENCIAL;20/10/2023;False;True;[]
TXN_4530804;CAFÉ;4;2,00;8,00;N/A;N/A;12/01/2023;False;True;[]
TXN_9642066;SANDUICHE;3;4,00;12,00;CARTÃO DE CRÉDITO;PRESENCIAL;31/08/2023;False;True;[]
TXN_7328294;SUCO;2;3,00;6,00;DINHEIRO;N/A;07/07/2023;False;True;[]
TXN_9238066;N/A;5;1,50;7,50;CARTEIRA DIGITAL;PRESENCIAL;15/09/2023;False;True;[]
TXN_5415901;BOLO;2;3,00;6,00;CARTEIRA DIGITAL;N/A;21/10/2023;False;True;[]
TXN_6714420;N/A;2;3,00;6,00;CARTÃO DE CRÉDITO;PARA VIAGEM;30/03/2023;False;True;[]
TXN_6616971;SUCO;2;3,00;6,00;CARTEIRA DIGITAL;PARA VIAGEM;02/09/2023;False;True;[]
TXN_7803615;SALADA;3;5,00;15,00;DINHEIRO;PRESENCIAL;13/12/2023;False;True;[]
TXN_3544789;CHÁ;4;1,50;6,00;N/A;PRESENCIAL;14/07/2023;False;True;[]
TXN_1583597;SALADA;1;5,00;5,00;DINHEIRO;PRESENCIAL;10/05/2023;False;True;[]
TXN_8472308;BISCOITO;2;1,00;2,00;CARTEIRA DIGITAL;PARA VIAGEM;19/08/2023;False;True;[]
TXN_1967565;VITAMINA;5;4,00;20,00;CARTÃO DE CRÉDITO;PARA VIAGEM;31/03/2023;False;True;[]
TXN_2029497;SANDUICHE;2;4,00;8,00;DINHEIRO;PARA VIAGEM;06/01/2023;False;True;[]
TXN_8929774;N/A;3;3,00;9,00;DINHEIRO;N/A;02/10/2023;False;True;[]
TXN_7852990;SANDUICHE;5;4,00;20,00;CARTEIRA DIGITAL;PARA VIAGEM;10/07/2023;False;True;[]
TXN_2534066;SALADA;2;5,00;10,00;DINHEIRO;N/A;13/10/2023;False;True;[]
TXN_2059647;CHÁ;1;1,50;1,50;CARTEIRA DIGITAL;PRESENCIAL;29/05/2023;False;True;[]
TXN_2485183;VITAMINA;5;4,00;20,00;DINHEIRO;PRESENCIAL;07/07/2023;False;True;[]
TXN_7374846;SANDUICHE;1;4,00;4,00;CARTÃO DE CRÉDITO;N/A;29/05/2023;False;True;[]
TXN_9401522;SANDUICHE;4;4,00;16,00;CARTEIRA DIGITAL;PRESENCIAL;16/11/2023;False;True;[]
TXN_8250651;SANDUICHE;4;4,00;16,00;CARTEIRA DIGITAL;PRESENCIAL;13/03/2023;False;True;[]
TXN_7191245;BOLO;4;3,00;12,00;N/A;PARA VIAGEM;22/05/2023;False;True;[]
TXN_8982764;BOLO;5;3,00;15,00;CARTEIRA DIGITAL;PARA VIAGEM;23/11/2023;False;True;[]
