Cod_Transacao,Produto,Quantidade,Preço Unitário,Valor Total,Forma de Pagamento,Tipo de Consumo,Data da Transação
TXN_7640952,BOLO,4,3.0,12.0,CARTEIRA DIGITAL,PARA VIAGEM,
TXN_1736287,,5,2.0,10.0,CARTEIRA DIGITAL,,02/06/2023
TXN_8927252,,2,1.0,,CARTÃO DE CRÉDITO,,06/11/2023
TXN_9677376,VITAMINA,4,4.0,16.0,,PRESENCIAL,15/08/2023
TXN_7710508,,5,1.0,5.0,DINHEIRO,,
TXN_8853997,VITAMINA,2,4.0,8.0,CARTEIRA DIGITAL,PARA VIAGEM,09/10/2023
TXN_9130559,LANCHE,1,4.0,4.0,CARTÃO DE CRÉDITO,,28/05/2023
TXN_6855453,,4,3.0,12.0,,PRESENCIAL,17/07/2023
TXN_1080432,SALADA,2,5.0,10.0,CARTÃO DE CRÉDITO,PRESENCIAL,29/04/2023
TXN_2655815,VITAMINA,4,4.0,16.0,,PARA VIAGEM,08/06/2023
TXN_6688524,CAFÉ,4,2.0,8.0,,,29/06/2023
TXN_2083138,VITAMINA,3,4.0,12.0,,PRESENCIAL,17/04/2023
TXN_2427584,LANCHE,4,4.0,16.0,,PARA VIAGEM,22/12/2023
TXN_6650263,CHÁ,2,1.5,,,PARA VIAGEM,10/01/2023
TXN_9620080,SUCO,4,3.0,12.0,,PARA VIAGEM,02/10/2023
TXN_1491578,BISCOITO,2,1.0,2.0,,,23/02/2023
TXN_5455792,SALADA,3,5.0,15.0,DINHEIRO,,22/03/2023
TXN_8078640,SUCO,4,3.0,12.0,CARTEIRA DIGITAL,PRESENCIAL,03/11/2023
TXN_9499313,SUCO,5,3.0,15.0,,,02/03/2023
TXN_8201146,SUCO,5,3.0,15.0,DINHEIRO,,26/06/2023
TXN_8230936,BOLO,3,3.0,9.0,,,02/05/2023
TXN_7742742,BOLO,5,3.0,15.0,,PARA VIAGEM,05/09/2023
TXN_6342161,SALADA,5,5.0,25.0,,PARA VIAGEM,08/01/2023
TXN_8914892,,5,5.0,25.0,CARTEIRA DIGITAL,,15/03/2023
TXN_3363746,VITAMINA,3,4.0,12.0,CARTÃO DE CRÉDITO,,25/11/2023
TXN_8614868,VITAMINA,5,4.0,20.0,CARTEIRA DIGITAL,PARA VIAGEM,05/12/2023
TXN_5522862,BISCOITO,,1.0,2.0,CARTÃO DE CRÉDITO,PARA VIAGEM,19/03/2023
TXN_3578141,BOLO,5,,15.0,,PARA VIAGEM,27/06/2023
TXN_2080895,BOLO,,3.0,3.0,CARTEIRA DIGITAL,PRESENCIAL,19/04/2023
TXN_6421134,LANCHE,4,4.0,16.0,DINHEIRO,PARA VIAGEM,03/11/2023
TXN_8813311,SUCO,5,3.0,15.0,,PRESENCIAL,07/10/2023
TXN_9023317,SALADA,1,5.0,5.0,,,30/09/2023
TXN_8051289,,1,3.0,3.0,,PRESENCIAL,09/10/2023
TXN_2537617,LANCHE,1,4.0,4.0,DINHEIRO,,27/05/2023
TXN_9099694,,3,5.0,15.0,,PARA VIAGEM,18/11/2023
TXN_9230615,VITAMINA,4,4.0,16.0,CARTEIRA DIGITAL,,01/06/2023
TXN_4987129,LANCHE,3,,,,PRESENCIAL,20/10/2023
TXN_8501819,SUCO,,3.0,6.0,DINHEIRO,,30/03/2023
TXN_3068204,BISCOITO,1,1.0,1.0,CARTÃO DE CRÉDITO,PARA VIAGEM,03/10/2023
TXN_8427104,SALADA,2,,10.0,,PRESENCIAL,27/10/2023
TXN_8471743,,5,3.0,15.0,CARTEIRA DIGITAL,PRESENCIAL,06/04/2023
TXN_2621580,CHÁ,2,1.5,3.0,DINHEIRO,PRESENCIAL,22/03/2023
TXN_4726376,BOLO,2,3.0,6.0,CARTÃO DE CRÉDITO,PRESENCIAL,31/01/2023
TXN_6044979,,1,1.0,1.0,DINHEIRO,PRESENCIAL,08/12/2023
TXN_4238417,SALADA,2,5.0,10.0,,,19/06/2023
TXN_1900620,VITAMINA,2,4.0,8.0,CARTÃO DE CRÉDITO,,14/12/2023
TXN_6420335,CAFÉ,1,2.0,2.0,DINHEIRO,PARA VIAGEM,16/07/2023
TXN_3858209,LANCHE,4,4.0,16.0,DINHEIRO,,22/02/2023
TXN_2091733,SALADA,1,5.0,5.0,,PRESENCIAL,
TXN_8735480,CHÁ,5,1.5,7.5,DINHEIRO,,02/06/2023
TXN_3829165,SUCO,4,3.0,12.0,DINHEIRO,PRESENCIAL,15/06/2023
TXN_3748616,CAFÉ,2,2.0,4.0,CARTÃO DE CRÉDITO,PRESENCIAL,09/12/2023
TXN_1993289,LANCHE,2,4.0,8.0,,PRESENCIAL,18/04/2023
TXN_2123367,BISCOITO,2,1.0,2.0,,,07/11/2023
TXN_5266394,BOLO,3,3.0,9.0,DINHEIRO,PRESENCIAL,28/10/2023
TXN_5107946,BOLO,4,3.0,12.0,CARTÃO DE CRÉDITO,,22/12/2023
TXN_8035512,CHÁ,3,,4.5,DINHEIRO,,29/10/2023
TXN_8718498,BOLO,5,3.0,15.0,CARTÃO DE CRÉDITO,,30/04/2023
TXN_3955361,BISCOITO,5,1.0,5.0,,PARA VIAGEM,02/04/2023
TXN_9487821,,1,5.0,5.0,CARTEIRA DIGITAL,PARA VIAGEM,24/05/2023
TXN_4132730,,5,1.0,5.0,,PRESENCIAL,12/03/2023
TXN_8976658,CHÁ,2,1.5,3.0,CARTÃO DE CRÉDITO,PRESENCIAL,16/08/2023
TXN_5455936,,5,3.0,15.0,,PRESENCIAL,28/10/2023
TXN_2725602,SUCO,5,3.0,15.0,CARTÃO DE CRÉDITO,,10/09/2023
TXN_3011323,CAFÉ,3,2.0,6.0,CARTÃO DE CRÉDITO,,07/03/2023
TXN_6289610,SUCO,3,3.0,,DINHEIRO,PARA VIAGEM,07/08/2023
TXN_8268061,SALADA,3,5.0,15.0,,PARA VIAGEM,20/08/2023
TXN_5220895,SALADA,5,5.0,25.0,DINHEIRO,PRESENCIAL,10/06/2023
TXN_3085509,CAFÉ,4,2.0,8.0,CARTEIRA DIGITAL,PRESENCIAL,15/04/2023
TXN_9999113,SUCO,4,3.0,12.0,DINHEIRO,PARA VIAGEM,27/05/2023
TXN_8779771,CAFÉ,4,2.0,8.0,DINHEIRO,PRESENCIAL,25/07/2023
TXN_9517146,,5,5.0,25.0,DINHEIRO,PARA VIAGEM,30/10/2023
TXN_1621920,SALADA,3,5.0,15.0,,PARA VIAGEM,28/10/2023
TXN_3808639,SUCO,2,3.0,6.0,CARTEIRA DIGITAL,PARA VIAGEM,15/12/2023
TXN_7028009,BOLO,4,3.0,12.0,,PARA VIAGEM,
TXN_7447872,SUCO,2,,6.0,,,
TXN_6955416,SALADA,4,5.0,20.0,,PRESENCIAL,25/02/2023
TXN_3775339,BISCOITO,3,1.0,3.0,CARTÃO DE CRÉDITO,,03/04/2023
TXN_9547091,BISCOITO,3,1.0,3.0,CARTÃO DE CRÉDITO,,08/10/2023
TXN_4358673,BISCOITO,5,1.0,5.0,CARTEIRA DIGITAL,PARA VIAGEM,28/12/2023
TXN_4174591,CHÁ,4,1.5,6.0,CARTEIRA DIGITAL,,30/08/2023
TXN_3398520,LANCHE,1,4.0,4.0,,PRESENCIAL,03/02/2023
TXN_6171384,VITAMINA,2,4.0,8.0,CARTÃO DE CRÉDITO,,12/09/2023
TXN_2530938,VITAMINA,5,4.0,20.0,,PARA VIAGEM,27/04/2023
TXN_3314971,SUCO,3,3.0,9.0,CARTEIRA DIGITAL,,04/05/2023
TXN_3092382,CAFÉ,5,2.0,10.0,CARTEIRA DIGITAL,,21/02/2023
TXN_1001832,SALADA,2,5.0,10.0,DINHEIRO,PARA VIAGEM,
TXN_1535311,SUCO,3,3.0,9.0,DINHEIRO,,16/03/2023
TXN_2148617,SUCO,,3.0,9.0,CARTEIRA DIGITAL,,10/01/2023
TXN_4633784,,5,,15.0,,PRESENCIAL,06/02/2023
TXN_4368416,SALADA,2,5.0,10.0,CARTÃO DE CRÉDITO,PARA VIAGEM,24/02/2023
TXN_9790731,BOLO,2,3.0,6.0,,,02/06/2023
TXN_9339456,CAFÉ,3,2.0,6.0,,PARA VIAGEM,29/03/2023
TXN_5179020,BOLO,2,3.0,6.0,,PARA VIAGEM,18/06/2023
TXN_6258471,CAFÉ,5,2.0,10.0,CARTEIRA DIGITAL,PRESENCIAL,23/09/2023
TXN_7945375,SUCO,3,3.0,9.0,,,14/01/2023
TXN_4685453,CHÁ,4,1.5,6.0,DINHEIRO,PRESENCIAL,14/09/2023
TXN_9646452,SUCO,5,3.0,15.0,CARTÃO DE CRÉDITO,,16/09/2023
TXN_9096052,VITAMINA,4,4.0,16.0,CARTÃO DE CRÉDITO,PARA VIAGEM,28/12/2023
TXN_5916991,SUCO,2,3.0,6.0,CARTEIRA DIGITAL,PARA VIAGEM,06/02/2023
TXN_3407169,LANCHE,2,4.0,8.0,DINHEIRO,PRESENCIAL,11/03/2023
TXN_2277042,CHÁ,1,1.5,1.5,DINHEIRO,,08/04/2023
TXN_9273729,CHÁ,1,1.5,1.5,,,19/12/2023
TXN_2181545,SUCO,4,3.0,12.0,CARTÃO DE CRÉDITO,PARA VIAGEM,14/07/2023
TXN_1150033,SUCO,5,3.0,15.0,DINHEIRO,PRESENCIAL,18/04/2023
TXN_1443912,SUCO,2,3.0,6.0,,,08/06/2023
TXN_8700451,CHÁ,5,1.5,7.5,CARTÃO DE CRÉDITO,PARA VIAGEM,12/12/2023
TXN_6380550,CAFÉ,5,2.0,10.0,DINHEIRO,PRESENCIAL,05/01/2023
TXN_4885518,SALADA,3,5.0,15.0,CARTÃO DE CRÉDITO,PRESENCIAL,10/06/2023
TXN_3972167,LANCHE,5,4.0,20.0,,PRESENCIAL,23/01/2023
TXN_4878378,CHÁ,1,1.5,1.5,CARTÃO DE CRÉDITO,,20/02/2023
TXN_2484241,BOLO,3,,9.0,CARTEIRA DIGITAL,,19/07/2023
TXN_2368126,BOLO,5,3.0,15.0,,PRESENCIAL,06/12/2023
TXN_7943008,CAFÉ,1,2.0,2.0,CARTÃO DE CRÉDITO,,
TXN_8495063,SUCO,1,3.0,,DINHEIRO,,31/05/2023
TXN_4811133,SALADA,2,5.0,10.0,DINHEIRO,,11/08/2023
TXN_8729570,CHÁ,5,1.5,7.5,,PRESENCIAL,03/09/2023
TXN_7623634,BOLO,2,3.0,,CARTÃO DE CRÉDITO,PRESENCIAL,11/07/2023
TXN_9336980,SALADA,4,,20.0,DINHEIRO,PRESENCIAL,06/06/2023
TXN_3424331,BOLO,4,3.0,12.0,,,18/01/2023
TXN_5072031,BOLO,2,3.0,6.0,DINHEIRO,PARA VIAGEM,23/03/2023
TXN_8687151,SALADA,5,5.0,25.0,DINHEIRO,,10/06/2023
TXN_4031509,,4,,16.0,CARTÃO DE CRÉDITO,PARA VIAGEM,04/01/2023
TXN_5265095,CAFÉ,1,2.0,2.0,,,23/06/2023
TXN_6541415,,,3.0,12.0,DINHEIRO,PRESENCIAL,25/11/2023
TXN_4108138,CAFÉ,5,2.0,10.0,DINHEIRO,,03/08/2023
TXN_1909796,VITAMINA,2,4.0,8.0,,PARA VIAGEM,12/07/2023
TXN_1928241,CAFÉ,3,2.0,6.0,DINHEIRO,PRESENCIAL,30/04/2023
TXN_4283157,SALADA,5,5.0,25.0,CARTEIRA DIGITAL,PRESENCIAL,25/11/2023
TXN_8013032,CAFÉ,2,2.0,4.0,CARTÃO DE CRÉDITO,,07/03/2023
TXN_8301424,SUCO,2,3.0,6.0,,,27/06/2023
TXN_1093800,LANCHE,3,4.0,12.0,DINHEIRO,PARA VIAGEM,
TXN_7965998,SUCO,1,,3.0,CARTÃO DE CRÉDITO,PRESENCIAL,02/11/2023
TXN_9238666,BISCOITO,1,,1.0,,PARA VIAGEM,31/07/2023
TXN_1631695,CHÁ,2,1.5,3.0,,PRESENCIAL,19/09/2023
TXN_1435086,BOLO,5,,15.0,,,09/02/2023
TXN_3226832,,5,4.0,20.0,DINHEIRO,,04/09/2023
TXN_1648671,LANCHE,3,4.0,12.0,DINHEIRO,PARA VIAGEM,21/05/2023
TXN_4062737,BOLO,3,3.0,9.0,DINHEIRO,PRESENCIAL,02/07/2023
TXN_3494565,,2,4.0,8.0,,,10/07/2023
TXN_9249507,BISCOITO,4,1.0,4.0,CARTÃO DE CRÉDITO,PRESENCIAL,21/11/2023
TXN_4689500,LANCHE,4,4.0,16.0,,,02/12/2023
TXN_8989148,CHÁ,2,1.5,,,,25/11/2023
TXN_8316826,CAFÉ,3,2.0,6.0,,PRESENCIAL,17/04/2023
TXN_9836934,BISCOITO,3,1.0,3.0,CARTEIRA DIGITAL,PRESENCIAL,13/03/2023
TXN_8005489,BOLO,3,3.0,9.0,,PRESENCIAL,12/08/2023
TXN_6463132,BISCOITO,5,1.0,5.0,CARTÃO DE CRÉDITO,PARA VIAGEM,
TXN_3925836,BISCOITO,3,1.0,3.0,CARTEIRA DIGITAL,PRESENCIAL,16/02/2023
TXN_1896955,SALADA,,5.0,25.0,,PRESENCIAL,23/09/2023
TXN_5075974,VITAMINA,,4.0,16.0,CARTEIRA DIGITAL,,11/04/2023
TXN_3978874,VITAMINA,5,4.0,20.0,CARTÃO DE CRÉDITO,PRESENCIAL,13/03/2023
TXN_8955912,LANCHE,1,4.0,4.0,,,07/11/2023
TXN_1136554,VITAMINA,3,4.0,12.0,,PARA VIAGEM,26/03/2023
TXN_8007337,BOLO,2,3.0,6.0,CARTEIRA DIGITAL,PARA VIAGEM,01/11/2023
TXN_8129834,SALADA,1,5.0,5.0,DINHEIRO,,22/07/2023
TXN_3831848,,1,4.0,4.0,CARTEIRA DIGITAL,PARA VIAGEM,03/11/2023
TXN_5365809,BOLO,3,3.0,9.0,DINHEIRO,PRESENCIAL,14/09/2023
TXN_8166407,VITAMINA,2,,8.0,,,26/07/2023
TXN_6629480,VITAMINA,5,4.0,20.0,CARTÃO DE CRÉDITO,PRESENCIAL,28/02/2023
TXN_3833797,CAFÉ,4,2.0,8.0,,PRESENCIAL,27/01/2023
TXN_2643815,BISCOITO,,1.0,3.0,,,06/12/2023
TXN_2996519,BOLO,5,3.0,15.0,DINHEIRO,,19/01/2023
TXN_8810894,VITAMINA,1,4.0,4.0,,,20/02/2023
TXN_7412722,SUCO,4,3.0,12.0,DINHEIRO,PRESENCIAL,07/04/2023
TXN_3937509,VITAMINA,2,4.0,8.0,,PRESENCIAL,20/03/2023
TXN_6000201,BISCOITO,3,1.0,3.0,DINHEIRO,PARA VIAGEM,16/02/2023
TXN_1714274,BISCOITO,4,1.0,4.0,,PRESENCIAL,27/12/2023
TXN_3800182,CHÁ,2,,3.0,DINHEIRO,PRESENCIAL,26/10/2023
TXN_5115080,,5,3.0,15.0,CARTÃO DE CRÉDITO,,18/02/2023
TXN_9788956,SUCO,,3.0,12.0,,,11/04/2023
TXN_6311602,SUCO,3,3.0,9.0,CARTÃO DE CRÉDITO,,15/05/2023
TXN_2950680,CAFÉ,2,2.0,4.0,CARTÃO DE CRÉDITO,PARA VIAGEM,10/12/2023
TXN_6749847,BOLO,2,3.0,6.0,CARTÃO DE CRÉDITO,,15/08/2023
TXN_2143187,VITAMINA,1,4.0,4.0,,PRESENCIAL,21/04/2023
TXN_8964522,,3,3.0,9.0,CARTÃO DE CRÉDITO,PARA VIAGEM,28/10/2023
TXN_4088917,CAFÉ,3,2.0,6.0,DINHEIRO,PARA VIAGEM,04/02/2023
TXN_3779366,BISCOITO,1,1.0,1.0,CARTEIRA DIGITAL,PRESENCIAL,15/04/2023
TXN_7724048,VITAMINA,1,4.0,4.0,,PRESENCIAL,12/11/2023
TXN_2698591,CHÁ,5,1.5,7.5,,,05/08/2023
TXN_3171373,VITAMINA,3,4.0,12.0,CARTÃO DE CRÉDITO,PRESENCIAL,10/05/2023
TXN_4129248,LANCHE,2,4.0,8.0,CARTÃO DE CRÉDITO,,
TXN_6498163,VITAMINA,5,4.0,20.0,,PRESENCIAL,15/07/2023
TXN_6717827,,3,5.0,15.0,CARTEIRA DIGITAL,,15/11/2023
TXN_9089898,SALADA,3,,15.0,CARTÃO DE CRÉDITO,,11/01/2023
TXN_8587583,BOLO,1,,3.0,,,01/10/2023
TXN_8693704,SALADA,,5.0,25.0,DINHEIRO,PRESENCIAL,04/05/2023
TXN_3857960,SALADA,4,5.0,20.0,DINHEIRO,PRESENCIAL,26/04/2023
TXN_3499124,,4,4.0,16.0,CARTÃO DE CRÉDITO,,25/08/2023
TXN_9250710,SALADA,1,5.0,5.0,DINHEIRO,PRESENCIAL,28/05/2023
TXN_7058377,SUCO,1,3.0,3.0,,PARA VIAGEM,30/04/2023
TXN_6766492,SALADA,1,5.0,5.0,,,14/01/2023
TXN_9879996,CAFÉ,4,2.0,8.0,CARTEIRA DIGITAL,PRESENCIAL,01/03/2023
TXN_4291940,BOLO,3,3.0,9.0,CARTÃO DE CRÉDITO,PRESENCIAL,13/11/2023
TXN_7433461,BISCOITO,2,1.0,2.0,CARTEIRA DIGITAL,,09/07/2023
TXN_4068262,SALADA,2,5.0,10.0,CARTÃO DE CRÉDITO,,13/05/2023
TXN_5761073,BISCOITO,1,1.0,1.0,DINHEIRO,PRESENCIAL,
TXN_5047447,SALADA,1,5.0,5.0,CARTEIRA DIGITAL,PARA VIAGEM,27/12/2023
TXN_6623508,BISCOITO,5,1.0,5.0,CARTEIRA DIGITAL,PARA VIAGEM,18/05/2023
TXN_2651216,,3,4.0,12.0,,,04/04/2023
TXN_9350833,BOLO,1,,3.0,DINHEIRO,PARA VIAGEM,17/01/2023
TXN_8377564,BOLO,5,3.0,15.0,,PRESENCIAL,14/07/2023
TXN_7031118,SALADA,1,5.0,5.0,CARTÃO DE CRÉDITO,,29/03/2023
TXN_2230167,BOLO,4,3.0,12.0,CARTEIRA DIGITAL,PARA VIAGEM,22/09/2023
TXN_6446616,CHÁ,3,1.5,4.5,,,30/09/2023
TXN_1721827,BOLO,4,3.0,12.0,CARTEIRA DIGITAL,,22/08/2023
TXN_6334895,VITAMINA,1,4.0,4.0,CARTÃO DE CRÉDITO,,27/07/2023
TXN_7077119,,1,4.0,4.0,CARTEIRA DIGITAL,PRESENCIAL,30/12/2023
TXN_8562645,SALADA,,5.0,,,PRESENCIAL,18/05/2023
TXN_4700144,CAFÉ,4,2.0,8.0,,PRESENCIAL,21/12/2023
TXN_5526852,LANCHE,5,4.0,,CARTEIRA DIGITAL,PRESENCIAL,28/09/2023
TXN_6846228,SALADA,3,,15.0,,PRESENCIAL,16/11/2023
TXN_8570890,SUCO,4,3.0,12.0,,,14/04/2023
TXN_3205009,,2,1.5,3.0,DINHEIRO,PRESENCIAL,03/01/2023
TXN_3786188,CHÁ,3,1.5,4.5,CARTÃO DE CRÉDITO,PRESENCIAL,20/10/2023
TXN_4530804,CAFÉ,4,2.0,8.0,,,12/01/2023
TXN_9642066,LANCHE,3,4.0,12.0,CARTÃO DE CRÉDITO,PRESENCIAL,31/08/2023
TXN_7328294,SUCO,2,3.0,6.0,DINHEIRO,,07/07/2023
TXN_1908636,CHÁ,2,1.5,3.0,,,
TXN_9238066,,5,1.5,7.5,CARTEIRA DIGITAL,PRESENCIAL,15/09/2023
TXN_5415901,BOLO,2,3.0,6.0,CARTEIRA DIGITAL,,21/10/2023
TXN_6714420,,2,3.0,6.0,CARTÃO DE CRÉDITO,PARA VIAGEM,30/03/2023
TXN_6616971,SUCO,2,3.0,6.0,CARTEIRA DIGITAL,PARA VIAGEM,02/09/2023
TXN_7803615,SALADA,3,5.0,15.0,DINHEIRO,PRESENCIAL,13/12/2023
TXN_7549542,BISCOITO,5,1.0,5.0,,PARA VIAGEM,
TXN_3544789,CHÁ,4,1.5,,,PRESENCIAL,14/07/2023
TXN_1583597,SALADA,1,5.0,5.0,DINHEIRO,PRESENCIAL,10/05/2023
TXN_8472308,BISCOITO,2,1.0,2.0,CARTEIRA DIGITAL,PARA VIAGEM,19/08/2023
TXN_1967565,VITAMINA,5,4.0,20.0,CARTÃO DE CRÉDITO,PARA VIAGEM,31/03/2023
TXN_2029497,LANCHE,2,4.0,8.0,DINHEIRO,PARA VIAGEM,06/01/2023
TXN_8929774,,3,3.0,9.0,DINHEIRO,,02/10/2023
TXN_5003018,BISCOITO,4,1.0,,CARTEIRA DIGITAL,,
TXN_7852990,LANCHE,5,4.0,20.0,CARTEIRA DIGITAL,PARA VIAGEM,10/07/2023
TXN_2534066,SALADA,2,5.0,10.0,DINHEIRO,,13/10/2023
TXN_2059647,CHÁ,1,1.5,1.5,CARTEIRA DIGITAL,PRESENCIAL,29/05/2023
TXN_2485183,VITAMINA,5,4.0,20.0,DINHEIRO,PRESENCIAL,07/07/2023
TXN_7374846,LANCHE,1,4.0,4.0,CARTÃO DE CRÉDITO,,29/05/2023
TXN_9401522,LANCHE,4,4.0,16.0,CARTEIRA DIGITAL,PRESENCIAL,16/11/2023
TXN_8250651,LANCHE,4,4.0,16.0,CARTEIRA DIGITAL,PRESENCIAL,13/03/2023
TXN_7191245,BOLO,4,3.0,12.0,,PARA VIAGEM,22/05/2023
TXN_8982764,BOLO,5,3.0,15.0,CARTEIRA DIGITAL,PARA VIAGEM,23/11/2023
TXN_8669422,,4,3.0,12.0,DINHEIRO,PARA VIAGEM,15/10/2023
TXN_1153869,VITAMINA,5,4.0,20.0,CARTÃO DE CRÉDITO,PARA VIAGEM,03/11/2023
TXN_5043774,LANCHE,3,4.0,12.0,DINHEIRO,,08/06/2023
TXN_1746320,SALADA,1,5.0,5.0,DINHEIRO,,14/11/2023
TXN_1077129,BISCOITO,1,1.0,1.0,,PRESENCIAL,12/09/2023
TXN_4865338,LANCHE,,4.0,16.0,,PRESENCIAL,26/11/2023
TXN_5616583,VITAMINA,1,4.0,4.0,,,13/10/2023
TXN_2078474,BISCOITO,2,1.0,2.0,,PARA VIAGEM,03/11/2023
TXN_2130245,VITAMINA,5,4.0,20.0,CARTÃO DE CRÉDITO,,13/11/2023
TXN_3229409,SUCO,,3.0,,DINHEIRO,PARA VIAGEM,15/04/2023
TXN_9076216,BOLO,1,3.0,3.0,DINHEIRO,,17/12/2023
TXN_6371987,CHÁ,5,1.5,,,PARA VIAGEM,13/03/2023
TXN_9913877,,2,2.0,4.0,CARTÃO DE CRÉDITO,,09/05/2023
TXN_2084377,VITAMINA,1,4.0,4.0,CARTÃO DE CRÉDITO,,22/10/2023
TXN_1842675,,4,1.0,4.0,CARTÃO DE CRÉDITO,PARA VIAGEM,23/06/2023
TXN_8605813,BISCOITO,1,1.0,1.0,,,30/06/2023
TXN_9755352,LANCHE,5,4.0,20.0,,PRESENCIAL,13/05/2023
TXN_7550498,SUCO,5,3.0,15.0,,PRESENCIAL,
TXN_2305908,CAFÉ,,2.0,8.0,DINHEIRO,,25/04/2023
TXN_6953697,,3,4.0,12.0,,PARA VIAGEM,27/05/2023
TXN_3495950,,4,,6.0,CARTÃO DE CRÉDITO,PRESENCIAL,19/02/2023
TXN_7557340,CHÁ,5,1.5,7.5,CARTÃO DE CRÉDITO,PRESENCIAL,11/12/2023
TXN_1157817,VITAMINA,1,4.0,4.0,CARTEIRA DIGITAL,PRESENCIAL,25/04/2023
TXN_2020318,CHÁ,3,1.5,4.5,CARTEIRA DIGITAL,PRESENCIAL,12/10/2023
TXN_8692094,CAFÉ,5,2.0,10.0,,PARA VIAGEM,30/08/2023
TXN_5307411,BOLO,3,3.0,,CARTEIRA DIGITAL,PARA VIAGEM,21/10/2023
TXN_9703120,CAFÉ,3,2.0,6.0,CARTÃO DE CRÉDITO,,02/11/2023
TXN_1289133,SUCO,1,3.0,3.0,DINHEIRO,,19/09/2023
TXN_2031459,BOLO,3,3.0,9.0,DINHEIRO,PARA VIAGEM,04/07/2023
TXN_1333682,VITAMINA,1,4.0,4.0,CARTEIRA DIGITAL,,28/01/2023
TXN_2256622,BISCOITO,2,,2.0,DINHEIRO,PRESENCIAL,04/10/2023
TXN_1623966,CHÁ,2,1.5,3.0,DINHEIRO,PARA VIAGEM,
TXN_4912930,VITAMINA,3,4.0,12.0,CARTÃO DE CRÉDITO,PRESENCIAL,26/02/2023
TXN_4942692,CAFÉ,2,2.0,4.0,,PARA VIAGEM,15/01/2023
TXN_3723007,CHÁ,3,1.5,4.5,CARTEIRA DIGITAL,PRESENCIAL,18/05/2023
TXN_7922392,LANCHE,3,4.0,12.0,,,03/05/2023
TXN_7498727,SALADA,3,5.0,15.0,DINHEIRO,,06/11/2023
TXN_1222338,BISCOITO,1,1.0,1.0,,PRESENCIAL,11/10/2023
TXN_6878866,VITAMINA,3,4.0,12.0,CARTÃO DE CRÉDITO,,25/02/2023
TXN_1260335,BISCOITO,4,1.0,4.0,CARTEIRA DIGITAL,PRESENCIAL,
TXN_9223242,VITAMINA,2,4.0,8.0,,,10/09/2023
TXN_6244211,VITAMINA,2,4.0,8.0,,,11/08/2023
TXN_5446858,,1,1.0,1.0,DINHEIRO,PRESENCIAL,07/11/2023
TXN_4612864,CHÁ,3,1.5,4.5,,,14/02/2023
